age,study_hours,attendance_rate,assignments_submitted,parental_support,internet_access,gender,school_type,extracurricular_hours,sleep_hours,final_grade
15.0,22.00388638097826,87.12685812277327,2.0,3.0,1.0,Male,Private,5.292896143159964,8.81421929775421,21.003357703157132
,17.279841999402947,94.8041280316296,,5.0,1.0,Female,Private,,6.38635849303653,23.66495668189218
16.0,,56.96955868651754,7.0,2.0,0.0,Male,Private,12.529561822387171,5.61974994940635,7.23273493247044
14.0,28.766147554016037,86.22614192894619,5.0,3.0,0.0,Male,Private,6.070586457726373,6.235270674492282,25.24443183172108
21.0,15.392866104805629,75.72599991441716,9.0,4.0,0.0,Male,Public,0.7325380602047055,8.221644462766935,21.176039604023273
18.0,12.113895218089432,,8.0,5.0,1.0,Male,Public,14.493744417392445,,24.335902087883383
20.0,22.060481873387946,,5.0,,0.0,Female,Public,3.8383082094129333,9.874993758130849,22.683465131586104
15.0,12.654646910280908,80.47334015532364,4.0,1.0,0.0,Male,Public,14.04265916859708,5.049874532324438,13.099229156177975
19.0,23.314568274937216,75.78209337003912,3.0,5.0,1.0,Male,,4.518575439701408,8.518576747804016,23.11700037258601
14.0,10.646786045166667,96.32356022798291,1.0,4.0,0.0,Male,Private,12.471398920471712,7.5349816742945395,17.07901562270571
15.0,22.150151944606847,76.05398480520083,5.0,1.0,1.0,Female,Public,9.963292386887861,5.39857360093925,17.08233984505608
20.0,16.005238321408473,99.52575577251062,1.0,5.0,,Female,Public,12.91925147984347,8.521681822844071,26.525118900343415
16.0,21.45526116351217,75.46144069240555,,5.0,0.0,Male,Private,14.64176980054346,6.685241263347107,37.79759185643141
21.0,,55.79260191506838,0.0,3.0,0.0,,Private,13.07225525184919,8.094389653258121,12.106791056344312
19.0,9.336963547393731,73.52356255375152,2.0,1.0,0.0,Female,Private,,7.9735434709878525,0.0
19.0,21.378859103791612,59.11643812775356,9.0,5.0,,Female,Private,12.217552222427441,4.663860599488397,22.186108673404703
17.0,,79.85667426087136,4.0,,1.0,Female,,10.674762154606396,9.039898149170483,10.872187036096532
14.0,9.764078223758858,84.65660875968005,6.0,1.0,0.0,Male,Public,0.9240550624748012,8.088849438269914,15.65093062754966
21.0,10.982952701037814,73.42176393535468,,3.0,0.0,Male,,13.946401466064362,8.683520275819987,23.556429474616145
15.0,,,6.0,,1.0,Female,Private,6.9894163744024675,6.686595009784412,19.73099861288719
14.0,15.165079384674298,73.43206992917764,6.0,5.0,1.0,Female,Public,2.0167584854438387,,19.698941746043275
16.0,14.16431957918582,54.07271073672002,1.0,2.0,1.0,Female,Public,6.38067145797219,5.957281142483989,15.449535367590858
16.0,15.731176395111804,84.10629777532671,5.0,5.0,0.0,Female,,9.047118676822162,9.408815370365538,27.39008261193378
21.0,17.956447946467364,89.51841124325438,4.0,3.0,,Female,Private,8.594191876258645,9.62811161110857,21.19544047877734
,18.341240619706763,98.11901636135195,8.0,3.0,1.0,Female,Public,8.621904701794545,6.8911983911637265,23.037465049676516
19.0,20.470834178075656,57.44010535642282,9.0,3.0,1.0,Female,Private,3.837589247276005,5.792773450896365,19.836480204300408
21.0,,76.62101677666521,3.0,3.0,1.0,Male,,9.490536741317836,8.381866744650987,13.346723704126846
19.0,14.893188137792615,78.37686837677093,,1.0,0.0,Male,Private,13.61122250666494,8.59595806159765,18.79144297082441
15.0,12.394555189345418,96.12382668904898,7.0,1.0,,,Private,5.830004198274011,8.892797784441488,21.813863520706143
18.0,18.06768064592594,81.36383202982572,5.0,5.0,1.0,Female,Private,9.458704239301646,4.186502864334976,15.279739609799401
14.0,,57.275482282266054,2.0,1.0,0.0,Male,Public,3.659805105108693,4.058403234379799,12.259770821576897
,11.606479339441943,71.81756619815945,4.0,5.0,0.0,Male,Public,0.7242153028305276,6.1429337696911155,14.786843792331169
16.0,,82.73812642531252,0.0,1.0,1.0,Female,Private,8.785970458791077,4.914979706659059,14.813767399330558
14.0,14.379358125911478,85.01422160346488,7.0,1.0,0.0,Male,Private,0.713247032778388,8.829891151084686,6.805086899967568
15.0,8.959037708209806,93.15369992952867,1.0,1.0,1.0,Male,Public,10.8537689238071,7.197063121471854,12.781681688459459
17.0,,59.02535599221986,9.0,4.0,,Female,Public,10.055290467026461,8.952088758170786,19.428779777970874
21.0,15.243583396969036,97.57710733777492,6.0,3.0,,Male,Public,5.539875283519732,5.06147846046481,22.160236065499173
19.0,20.709482684840047,52.95697060077961,8.0,4.0,1.0,Female,Private,6.169351644719728,7.763336253170967,25.10948843490408
16.0,20.642728887655934,99.18810672844509,,1.0,0.0,Male,Public,,7.481032545011639,14.165947279212245
21.0,15.554402514464186,92.88835464332043,3.0,1.0,0.0,Female,Private,0.19700438284594113,6.042269805035611,16.449773767113644
19.0,25.044547095480638,83.01363913810857,6.0,4.0,1.0,Male,Private,8.44955071234488,7.102487803346569,21.279694820014807
19.0,14.475898170297686,,8.0,5.0,1.0,Male,Private,,7.534165222748311,25.27094493150229
19.0,14.307161883012945,53.63460029593982,1.0,3.0,0.0,,Private,13.70980871654395,9.336926827214928,11.068457109720143
17.0,,52.07399314472262,1.0,5.0,0.0,Male,Private,8.769836457370388,4.333830308537104,16.052416527337293
21.0,12.763185254193921,55.088289827568275,5.0,3.0,1.0,Male,Public,5.7184499836439695,8.940243200948563,14.301535234440076
14.0,19.26007517454247,,2.0,2.0,,Female,Public,1.4835528949856096,9.880938335685684,16.779827412177198
18.0,22.81980668429852,77.36906167347175,3.0,3.0,1.0,Male,Public,2.6067630571852574,8.390650348651796,17.514248675864728
19.0,10.848826831663576,60.77219935558946,2.0,5.0,0.0,Male,Public,10.195100328054922,8.424081893564741,15.824472541479825
15.0,,93.01028186033633,0.0,3.0,0.0,Female,Private,0.24951125714651745,5.307845784640577,14.598388289934215
,20.23439516161644,72.28743115340362,5.0,2.0,1.0,Female,,13.252283646119738,7.138439685694824,10.107041428104756
19.0,15.056040765979496,84.77552382291375,1.0,2.0,1.0,,Public,8.819017052188252,8.235641921099592,17.39341018874147
21.0,3.583597712363849,82.64365464850799,1.0,1.0,0.0,,Public,0.6771999339714624,7.613686026117521,6.6444061088236674
14.0,16.23644999787126,,6.0,2.0,0.0,,Public,,6.310789642700685,9.028277901523568
20.0,18.807153120304466,62.15837867628645,4.0,4.0,0.0,Female,Public,8.91301365851482,9.64071046033453,16.672779803099314
15.0,,67.12281426483176,7.0,,0.0,Female,Public,0.5340189818972269,7.083920448327241,16.62470008380142
14.0,13.729227345628065,89.83291869249187,1.0,4.0,1.0,Female,Private,11.699811029366435,9.81925519261317,18.68488022119367
19.0,9.22251978935618,79.31384242098092,9.0,4.0,0.0,Male,Private,13.798831002459048,,17.521017114619976
,,62.67693312595877,7.0,5.0,0.0,Male,Public,14.41830589952906,8.760300680097565,20.775093825127975
20.0,20.135022058938283,90.89232215302151,6.0,4.0,,Female,Private,,8.452138618922922,15.805787497689625
14.0,,52.737969305515335,9.0,4.0,1.0,Male,Private,12.852382062592756,7.96494265115756,22.24216241144342
14.0,22.988374983524913,84.95916874951476,7.0,4.0,1.0,Female,Private,9.160611934946045,4.086765074522866,25.01540521393682
16.0,19.286610959530886,71.95504028746555,2.0,2.0,0.0,Male,Private,6.878154968123617,4.46457490300183,12.772276657585472
17.0,13.228951191672756,86.56451930329442,,,1.0,Male,Private,10.697021300583108,,22.66178297076814
20.0,14.584096699477957,96.37306401217134,5.0,5.0,1.0,Female,Public,3.362709963940425,9.4706885304117,21.040939346777137
18.0,17.83088695385086,87.50170489734519,,5.0,0.0,Male,Private,1.6467648929332535,7.606850001177069,26.298143734785953
,19.834417083778717,72.09826776556912,5.0,4.0,1.0,Male,Private,11.427764641933479,5.415975975026994,21.021353303192924
17.0,16.613353153710058,57.54878407569404,,2.0,1.0,Male,Public,14.372801894788035,5.921310409693282,20.060208217117058
17.0,20.52796572644742,90.31754879027169,2.0,5.0,0.0,Female,Private,8.662189984920353,,26.09081631164816
15.0,13.516656316627643,73.03527634606857,0.0,3.0,1.0,Male,Private,7.238135564967905,7.582326793690104,7.369609328486579
16.0,,53.76561617285649,6.0,5.0,0.0,Male,Public,8.016063469082768,9.734217461290628,18.201447013163218
16.0,14.67595373219435,85.9527698888433,1.0,1.0,1.0,Female,Private,7.176962765772488,7.1745073840452935,15.109170515276993
14.0,,64.59259829582949,0.0,3.0,1.0,Male,Public,6.633004217658573,6.130089291839437,15.569648380037133
17.0,8.992323026303566,52.44441147525926,0.0,5.0,1.0,Male,Private,14.205535412193193,7.1499565404485095,15.58016987135033
20.0,8.31638957926689,95.13755074870389,,4.0,0.0,Male,Private,7.196447866923726,8.71740389962481,17.899087919845183
18.0,17.236931482367137,74.15505460469551,0.0,5.0,1.0,Male,Public,1.2165366152096784,,22.152578265998145
15.0,12.968215743147882,64.04805265865107,8.0,,1.0,Female,Private,11.482750186053547,5.956315301726283,13.173426841181344
20.0,14.17079547168999,85.81932789424557,5.0,,1.0,Female,Public,,6.031726306630471,13.311111263378452
,,94.29511888412819,,5.0,,Female,Private,10.660403186233255,8.540870915454104,23.802907293351034
14.0,22.60300450881606,50.015353751687776,3.0,4.0,0.0,Male,Private,8.6935403936161,4.398689661167691,21.082818147494372
,21.308805801975,84.39260925210769,,4.0,1.0,Female,Private,,5.648531657047074,20.17432616693396
17.0,8.81323154980416,88.35058470092108,1.0,4.0,1.0,Male,Private,0.9299093555351934,4.91822554245125,14.857081219681088
21.0,12.336033934597765,60.496371363974646,4.0,5.0,1.0,Male,,0.5080998400173459,9.668053799183388,21.308232216987506
21.0,19.250021339847965,74.48119157050871,1.0,5.0,,Female,Private,5.678124372767118,4.540565579009071,20.34551299076957
,18.00968118551621,54.46429494589679,3.0,1.0,0.0,Female,Private,10.397492067329113,,13.136249534348751
18.0,14.792710188351071,87.33749412576738,9.0,2.0,0.0,Female,Public,3.3552379035899116,7.782553416815022,8.46548758216054
21.0,9.311998975178824,,4.0,3.0,0.0,Male,Public,6.501010769438581,7.796826404025827,15.715626929657347
16.0,11.58729976923227,,5.0,3.0,,Male,,14.712153959594616,8.580598162887311,14.148015140614875
21.0,12.416162162268552,90.82301267164173,5.0,,0.0,Male,Private,,6.402927832442761,18.792333783548848
15.0,16.384971655595503,,8.0,1.0,0.0,Male,Public,12.719151926570454,6.404460189983644,14.960406798826657
20.0,23.51863577348619,67.34566601854486,3.0,2.0,0.0,,Public,12.38191327216795,5.732234693424735,24.341253943238904
21.0,11.565598826059361,,4.0,1.0,1.0,Female,Public,13.370282779334826,,14.220421739983806
17.0,9.869823762223799,,5.0,1.0,1.0,Male,Public,13.727126154431808,9.57883151266155,6.2270570201213395
15.0,,96.58988272329992,3.0,,0.0,Male,Private,7.609802885971983,9.543899196345588,12.008929962770699
19.0,20.158694902570296,77.51916176541864,5.0,2.0,1.0,Female,Private,10.229006747933637,8.217764033088311,16.475575219537546
,,81.01694320309997,1.0,3.0,1.0,Female,Private,9.283363680235416,9.437114626198301,12.179023241479037
21.0,22.268170754374736,83.23297067695493,6.0,5.0,1.0,Male,Public,4.634228105483355,9.781112970134611,15.916659026391455
18.0,14.139843189421653,78.06845086091833,2.0,5.0,0.0,Female,Public,4.19681379232061,8.770629658016748,18.738103914476007
21.0,,92.83819437697315,9.0,2.0,,Male,Public,5.123549542516369,6.446999973660077,14.171158858411474
21.0,,,3.0,5.0,,Male,Private,3.276865980115382,6.89934979799023,17.71992499714218
18.0,18.532603867103138,95.38799956202362,8.0,1.0,0.0,Male,Public,11.360753257391933,9.587541520573591,26.361394362295066
14.0,14.144144023792325,79.11658111170044,4.0,5.0,1.0,,Public,14.468593026397738,8.020048451648261,11.681977643414017
17.0,15.853527413772534,,8.0,1.0,,Female,Private,13.016576127571174,8.92416376711705,18.8220626228633
18.0,10.495941294943181,95.67812779196515,9.0,1.0,0.0,Female,Private,3.2691060613257084,4.696684214472507,15.997056229064624
16.0,13.404519828744881,84.08137491798884,9.0,3.0,0.0,Male,Private,,5.1634084905438655,15.899599525526286
19.0,12.56709376822631,84.96194972177781,9.0,5.0,1.0,,Private,11.356408606082626,6.064650803937813,22.196647018340872
16.0,14.497034473108963,99.27408752858008,9.0,3.0,1.0,Male,Private,,5.129443933357315,23.84494570582996
,11.652238368120948,53.75982771047896,5.0,,1.0,Male,Public,12.369189242500724,9.438790387909242,19.33004236247424
,7.329095196563893,,7.0,,0.0,Male,Public,11.688536948796783,5.30134328198483,0.8942594779264468
21.0,28.642498726483034,61.95476964933076,4.0,5.0,0.0,Female,Public,9.381153779985116,7.343102285982976,27.138591322576318
19.0,8.18297876331243,81.52132323568286,4.0,3.0,1.0,Male,Private,3.8300900156909305,4.512723220896862,17.328278787322645
16.0,15.907295034712694,,2.0,,1.0,Female,Private,1.560536517452205,4.929771079143212,16.006278888487017
21.0,6.139860857879789,98.31553544462064,6.0,,1.0,Male,Private,3.789724890842028,5.484490809827229,18.72428671144924
,5.014762816910125,72.729805347736,1.0,4.0,1.0,Male,Private,7.646395430182007,9.897360408906316,17.40120128341331
16.0,15.489132459261338,89.3109115321302,,,,Male,Public,14.69194463463573,8.782382542023473,20.403236199630268
17.0,,95.85257960201898,1.0,3.0,1.0,Male,Public,0.9553086030053798,8.041330352617415,20.739819399366286
15.0,21.30749495401192,,7.0,,0.0,Female,Public,3.001080012238977,9.49757190309881,37.27409996699473
20.0,16.99773420507853,,3.0,4.0,0.0,Female,,,9.73725195620569,23.99307784536583
19.0,14.250946406271044,80.39270755538956,9.0,5.0,0.0,Female,Public,4.5654659200054155,6.721437485672496,23.462087684381064
21.0,10.25199877967498,98.49760239085933,7.0,4.0,1.0,Male,Public,12.877564491598264,5.966136696655768,22.561795161159374
17.0,22.495060341167743,99.37769144307828,7.0,,0.0,Female,Public,2.091254805983925,,22.13781100168458
18.0,19.64425623025112,82.1179911858389,7.0,3.0,0.0,Male,Public,14.44736285375912,4.214374612488691,18.579519244996177
18.0,8.768352611257876,94.34938789359947,7.0,5.0,1.0,,Private,13.685623372747903,5.677828562358027,14.632997191277308
16.0,15.189818641053176,,7.0,3.0,1.0,Female,Public,13.312935840160819,6.130275803162464,16.77999344992963
14.0,15.720261157632484,62.303930247610836,8.0,5.0,0.0,Male,Public,2.596035626451241,4.221393036692402,26.63573015231774
,13.271731716971654,97.64438064424299,1.0,1.0,1.0,Male,,4.942441863789664,9.295628893713374,6.728163646953693
19.0,18.859252429033972,56.761768774740396,8.0,4.0,0.0,Female,Private,12.061452633502912,9.087140414798462,23.34251057365558
14.0,19.158665691740886,59.555321904673946,7.0,5.0,1.0,Female,Public,12.117120983399191,,21.27082519762945
18.0,14.047571510974471,71.02742995600258,,4.0,0.0,Male,Public,10.577631228106984,8.815353401857513,20.51064599077011
18.0,13.595653771011708,79.47921438766753,0.0,1.0,0.0,Female,Private,6.7207632230062755,8.777271274490285,9.803015995985009
20.0,22.49479231333766,80.19086094841359,4.0,4.0,1.0,Female,Private,4.673839060101557,6.010076558410303,22.64098031341045
20.0,19.664194461811185,,1.0,5.0,,Female,Private,14.444369042725906,8.182408231786566,31.907168087943184
19.0,,96.0306948975174,9.0,3.0,1.0,,Public,2.08893404832519,5.739147028180806,17.21063141281018
20.0,6.8539548045997325,95.75499538039314,4.0,4.0,0.0,Male,Private,0.6563109144293416,4.4216574153262,15.723444935412832
20.0,16.72000053152518,69.60340265261863,7.0,4.0,0.0,Female,Public,0.13695779984791712,7.028787003573871,19.498772799121397
21.0,18.490417324588343,71.71458847151486,8.0,1.0,1.0,Male,Private,11.625403644505328,6.629962245274355,8.340971887565548
15.0,1.2273918580081364,85.1248558411956,8.0,2.0,0.0,Male,Public,0.8505771895010922,4.828917487116273,15.640414480126786
19.0,16.259347241590127,83.14979481994504,,3.0,1.0,Female,Private,8.079654067078682,6.943320021940506,11.129893915047575
18.0,12.916540066021323,69.11485074804811,6.0,5.0,0.0,Female,Public,,9.696254474541497,27.399684523122964
21.0,,70.71221257605018,7.0,1.0,0.0,Female,Private,2.2036183510831044,8.388358883134782,9.556144849370652
18.0,10.463095236183396,67.40194717107696,9.0,5.0,1.0,Male,Private,11.108932303308046,8.433233859674765,22.922792184698
20.0,14.25905354798179,61.76925034766539,,5.0,1.0,,Public,0.8251024656590183,8.545304770493741,27.516142837713602
15.0,21.959957880906657,72.90691814620698,5.0,4.0,0.0,Male,Public,4.775907578781785,8.467802843611274,24.038410823505686
20.0,12.768007505922423,84.32170659512701,2.0,1.0,0.0,Male,Public,8.432868381301365,4.119408612403641,7.989762672118173
20.0,19.82786779396592,87.09833526571465,8.0,1.0,,Female,,6.0362358503437825,9.548145614163591,12.36758639764152
,10.968343905601948,88.94368241279813,2.0,3.0,0.0,Female,Private,3.8872229798880022,8.98082658663264,3.368635726396155
17.0,18.793780963280195,68.73660067265607,1.0,2.0,1.0,Female,Private,13.890015070590701,5.647476444598016,12.497128306586092
15.0,15.008279278109756,88.23179971424868,8.0,5.0,1.0,Female,,13.96455582747996,7.316461029019782,15.83398586856487
15.0,16.760124143946403,,,3.0,1.0,Female,Private,6.241418094138396,7.690035579719003,17.840703155839293
17.0,15.035766280487438,73.85249688584412,7.0,3.0,,Male,Public,5.906166251421299,4.791670174697471,15.868015605463878
17.0,18.208126162206042,89.69522000663454,1.0,,0.0,Female,Public,4.610775712300514,5.523780261142765,21.23749485207999
17.0,2.1620744103312095,81.50223603206766,5.0,4.0,0.0,Male,Private,12.836342893685407,4.139502611704913,8.31780043931418
17.0,7.900873432712152,73.70315620772539,4.0,4.0,0.0,Male,,8.518729289923566,9.183710320325591,13.00069177316581
,17.085402490043222,82.23210033031745,1.0,5.0,1.0,Female,Public,1.342833193536828,4.149430418477203,22.664304538329905
19.0,4.782308230518822,,4.0,1.0,1.0,Male,,12.799810546775513,5.912175027165202,10.489319720142127
20.0,12.347098221763954,78.31909003051037,3.0,2.0,1.0,Male,Public,8.02329404935501,4.469478957677339,3.851430902197766
16.0,14.728295794816752,89.9893095730053,8.0,4.0,0.0,Female,Public,6.233877061588627,8.688435557026313,24.701310885801515
20.0,,99.03713626125989,0.0,2.0,1.0,Male,Public,5.067974154653369,9.549896638427127,6.153688132900643
15.0,,85.27841010377833,5.0,3.0,1.0,,Public,,7.3768937189067545,8.083551501384024
14.0,,78.66628819445317,,3.0,,Female,Public,14.350532346013042,4.83740090384993,16.849882166313638
16.0,20.046474778899046,51.874297356267014,5.0,5.0,1.0,Male,Private,11.118652762084524,7.348965149716609,34.22112862645288
14.0,10.207753093725962,68.72389491272938,4.0,5.0,0.0,Male,Public,1.9766634464847104,8.622047436716072,16.524802139403462
14.0,12.124709019063149,78.27213667575592,3.0,5.0,0.0,Female,Private,7.669032287022516,8.310497231357804,19.238309674257742
18.0,11.343695133364776,89.86032858530163,4.0,4.0,1.0,Male,,8.333627966794305,,20.71164954734052
21.0,2.893101240613607,71.90523948237882,8.0,2.0,1.0,Female,,2.5183313554613367,5.675043055320866,7.011413934836293
,15.708558951587543,98.00291378823867,4.0,3.0,1.0,Female,Public,6.408322932934559,4.442425135505454,18.806068869298116
,19.67358872914246,63.58968763118374,9.0,2.0,1.0,Female,Private,,,14.188089224007214
16.0,20.08321603657941,87.22835976051581,7.0,4.0,,Female,Private,,9.733038910473644,24.958291228252982
20.0,10.646168117796305,70.95157085420638,6.0,2.0,0.0,Female,Public,4.974134323349225,7.681083922575887,15.413367968416408
15.0,8.741509757399287,74.29942472829529,,2.0,1.0,Female,Public,1.830427155975121,8.367397635183554,12.804449026013938
17.0,15.108027737958423,,9.0,5.0,1.0,Male,Public,6.198609664886342,9.394387550683636,24.120517729265046
15.0,19.146368432832336,64.81076308258528,4.0,2.0,1.0,Female,Private,8.75785927062442,9.116527399307751,25.67768731812417
14.0,15.77425224155192,54.84060282975716,6.0,2.0,0.0,Male,Public,,5.310411098314714,16.14299118240215
19.0,16.446523179368807,,5.0,2.0,0.0,Male,,,4.348360267652522,18.01973983445685
17.0,20.709154638681166,76.43973059018744,2.0,,,Male,Private,,9.550769205180751,15.423481855410483
,11.304317203846484,89.85838861126868,9.0,3.0,,Female,Public,10.172733815862122,9.890009755826542,12.712349023568397
15.0,13.90014956663485,98.41596031160509,2.0,3.0,,Female,Public,4.72255463275239,,11.669080877075277
19.0,23.173027558806005,52.76503431641742,1.0,2.0,,Male,Private,8.527488574374061,9.330411489026677,9.933534911682827
14.0,14.015944384511865,79.58447368715545,2.0,5.0,1.0,Female,Public,9.192042723897021,5.39089629828852,15.080961717290052
,,84.06392651574,9.0,5.0,0.0,,,10.35761098719217,4.666232227539108,17.954294000683277
17.0,,99.29006753742608,0.0,5.0,0.0,,Public,,6.998901624450484,16.630559771962766
14.0,10.309100743893788,97.12951071384558,8.0,3.0,,Female,Private,2.0452756484986194,8.867100516902717,15.969445091228035
19.0,,85.62253823559888,1.0,4.0,1.0,Female,Private,14.47864113300416,7.927921739441994,20.664397731164666
15.0,10.520264982056105,76.0894705622233,2.0,2.0,0.0,Male,,12.654681234806427,,18.243468367470115
20.0,16.35517126430622,58.07619611496307,4.0,3.0,0.0,Male,Private,8.43478173897926,4.104753449350997,21.999471570413686
16.0,11.319673907296751,69.20882776022087,9.0,5.0,0.0,Male,Public,13.355383061675369,5.904957354190548,22.495654649579247
16.0,4.38310730800886,79.25611625285771,3.0,3.0,1.0,Female,Private,,9.636974719134887,7.47776869246347
18.0,16.53309893490961,86.2600198297877,4.0,3.0,0.0,Female,Private,0.5142982740920021,4.805641237101541,22.447487260350027
21.0,15.742318407734444,81.76997787395561,5.0,3.0,1.0,Male,Public,10.905470713019145,8.358195671122925,14.496662494493613
16.0,17.588789078544202,85.70614009138706,4.0,5.0,1.0,Male,Public,14.1501622403304,8.555866922848267,23.778918868269532
19.0,11.635063904173716,,9.0,4.0,,Male,Public,2.427819953629535,,20.704223200541872
21.0,11.102277623203118,86.38136452855045,0.0,,1.0,,Private,,9.935709364601058,3.7252284031675105
19.0,17.007334292407727,57.18706280098596,5.0,2.0,1.0,Male,Public,12.201383409784754,6.455249268111548,12.389170222355082
,,58.12931558815568,8.0,2.0,0.0,Female,Private,13.576005774571245,8.093160353254117,21.347526483368544
17.0,15.055840047531639,58.14160729147314,2.0,,1.0,Female,Private,4.14791638672779,5.161930680302814,14.002605387522873
18.0,17.122925480235725,94.5432478517888,1.0,4.0,1.0,Male,Public,1.9310071407709732,,32.74687336055968
17.0,13.392061577871464,53.801703165431725,5.0,5.0,1.0,Female,Private,3.717751708139022,,17.24501316866609
20.0,7.281847390631576,90.07541863667379,2.0,1.0,0.0,Female,Public,,5.288965246600153,3.574448836183395
21.0,19.83714709577029,61.67854490233685,3.0,1.0,,Female,Private,13.780923847432973,9.440864454153157,13.649472158747084
16.0,19.542071195430808,73.42149702476253,5.0,3.0,1.0,Female,Public,8.738037167977593,8.297186982804174,16.908351663476026
20.0,,95.7978297732839,5.0,3.0,1.0,Male,Private,13.794319512539946,5.702546608554968,10.219492315190077
21.0,14.090272808287907,79.29686148437534,1.0,5.0,0.0,Female,,11.550555355368285,,22.692205931062798
21.0,17.985280498692703,60.50588431161793,,5.0,1.0,,Public,8.975841962517139,5.727203970535046,24.965705395705513
16.0,19.468808986939152,64.20450301594036,8.0,5.0,1.0,Female,Private,0.326977638949944,7.737912293458507,27.98254393772754
15.0,23.100793424783536,96.02233119478927,1.0,3.0,1.0,,,,8.958451829861716,20.22312325546912
17.0,,71.35719625549892,2.0,4.0,,Female,Private,0.8618933583735938,7.019009542330963,18.442813454623394
